<details> <summary> <b>luci-theme-argon new commit log :new: </b>  </summary>

SHA|Author|Date|Message
89a7ca6|SpeedPartner|Fri May 19 16:30:13 2023 +0800|移除 强调文本<em> 的 内边距[padding],避免文本排版在某些情况下出现异常
0c84393|SpeedPartner|Fri May 19 04:40:57 2023 +0800|重做:自定义主色调不再对 登录页面[sysauth] 中 页脚[footer] 字体颜色生效
747ddd3|SpeedPartner|Thu May 18 22:33:51 2023 +0800|改进:将 [无线信号强度] 的指示图片 居中显示
3c6574d|SpeedPartner|Thu May 18 21:42:59 2023 +0800|重写/精简:not
07771b9|SpeedPartner|Thu May 18 21:18:19 2023 +0800|改进 排序按钮[Sort button] 在缩小浏览器窗口时不再缩小
04bac79|SpeedPartner|Thu May 18 20:18:38 2023 +0800|追加:改进 [暗色模式] 中自定义主色调对 变量标签<var> 的字体颜色,并增加 文本阴影[text-shadow] -修复 [暗色模式] 下 变量标签<var> 的字体颜色 无法跟随自定义主色调 -清理重复的代码
2f80831|SpeedPartner|Thu May 18 16:46:09 2023 +0800|重做:改进 本主题 对 [luci-app-passwall] 的兼容性
7c9b29a|SpeedPartner|Thu May 18 04:11:21 2023 +0800|排除在 警告信息框[alert-message] 和 未保存的配置[UNSAVED CHANGES] 中应用 文本阴影[text-shadow] 以避免影响文本可读性
6c916af|SpeedPartner|Wed May 17 04:24:40 2023 +0800|追加:自定义[暗色模式]主色调,对 [左侧导航主菜单选项卡] 中的 状态[Status] & 管控[Control] 图标的颜色生效
4c2f45e|SpeedPartner|Wed May 17 04:19:29 2023 +0800|重做:改进 描述文本[description] 的字体颜色,指定文本字体颜色,并提高不透明度 避免影响 描述文本[description] 中,跟随 自定义主色调 的 链接[link] 和 强调文本<em> 的可读性
b57901c|SpeedPartner|Wed May 17 04:17:14 2023 +0800|改进 概况[overview] 中 占用指示条 的内部文本的可读性(增加 文本阴影[text-shadow]) -清理重复代码
8a2eacb|SpeedPartner|Wed May 17 04:14:48 2023 +0800|改进 描述文本[description] 的字体颜色,不再使用降低透明度的方案 避免影响 描述文本[description] 中,跟随 自定义主色调 的 链接[link] 和 强调文本<em> 的可读性
39f61a2|SpeedPartner|Wed May 17 04:11:40 2023 +0800|追加:自定义[暗色模式]主色调,对 已选中单选框[radio:checked] & 已选中复选框[checkbox:checked] 的颜色生效 -为 所有 输入框[input box],包括 单选框[radio] & 复选框[checkbox],在 指针悬浮时[hover] 增加边框变色的定位提示,边框颜色跟随 自定义主色调
27945e0|SpeedPartner|Wed May 17 04:07:51 2023 +0800|追加:在 [暗色模式] 下,为 [左侧导航主菜单选项卡] 在 指针悬浮时[hover] & 选中时[active],添加边框和线条的阴影 -清理多余代码
4df0c6d|老竭力|Sun May 14 22:34:40 2023 +0800|Merge pull request #409 from SpeedPartner/18.06
78a748a|SpeedPartner|Sun May 14 05:08:25 2023 +0800|追加:自定义[暗色模式]主色调,对 登录页面[sysauth] 中 用户名 和 密码 输入框的底部线条颜色生效
9a65619|SpeedPartner|Sun May 14 04:53:20 2023 +0800|改进 登录页面[sysauth] 中 主题Logo & 主机名[brand-text] 的布局 - 增加 主机名[brand-text] 的文本大小 - 长主机名最多可以显示三行,超过将不再显示
ce06b26|SpeedPartner|Sun May 14 01:26:16 2023 +0800|回退;暗色模式下,链接[link] 和 强调文本<em> 的字体颜色继续对 [暗色模式]主色调 生效 -自定义主色调不再对 登录页面[sysauth] 中 页脚[footer] 字体颜色生效,避免某些壁纸的背景色在叠加模糊层后,字体不够清晰 -新增:[亮色模式] 中 强调文本<em> 对自定义主色调 生效 -新增:为 链接[link] 和 强调文本<em> 的字体添加 文本阴影[text-shadow],这将稍许改进可读性,尤其是[暗色模式]下 -新增:改进 [暗色模式] 中自定义主色调对 链接[link] 和 强调文本<em> 的字体颜色(浅色时将降低字体颜色亮度,而深色时将确保字体可读性的最低亮度)
2ad5ee5|SpeedPartner|Mon May 8 23:45:51 2023 +0800|回退;暗色模式下,[排序按钮] 的颜色继续对 [暗色模式]主色调 生效
24a0b95|SpeedPartner|Mon May 8 23:36:01 2023 +0800|回退;暗色模式下,[子菜单选项卡] 底部线条颜色继续对 [暗色模式]主色调 生效 -更改[子菜单选项卡]在 指针悬浮时 & 选中时 的背景颜色为#3c3c3c(深灰色) -更改[子菜单选项卡]在 指针悬浮时 & 选中时 的字体颜色为#fff(白色)
1b1853e|SpeedPartner|Mon May 8 21:02:27 2023 +0800|回退;暗色模式下,[左侧导航主菜单] 底部线条颜色继续对 [暗色模式]主色调 生效,并补充适配 指针悬浮时 的底部线条颜色
9f85cd4|SpeedPartner|Mon May 8 20:05:45 2023 +0800|暗色模式下,将 [左侧导航主菜单] 指针悬浮时 & 选中时 的字体颜色变更为#fff(白色)
9f6ab74|SpeedPartner|Mon May 8 02:35:19 2023 +0800|补充编写遗漏的less,优化亮色模式下每第二行的排序按钮的颜色
142e968|SpeedPartner|Mon May 8 01:33:36 2023 +0800|在暗色模式下,自定义主色调不再对字体颜色生效,并将颜色固定为#ccc(灰色)或者#8898aa(灰蓝色) 避免主色调在设定为深色时不够清晰
956726b|SpeedPartner|Mon May 8 00:59:58 2023 +0800|在暗色模式下,自定义主色调不再对[排序按钮]的颜色生效,并将颜色固定为#ccc(灰白色),避免主色调在设定为深色时不够清晰
e8cfe5d|SpeedPartner|Sun May 7 22:16:41 2023 +0800|在暗色模式下,自定义主色调不再对[左侧导航主菜单选项卡]&[子菜单选项卡]的底部线条生效,并将颜色固定为#ccc(灰白色) 避免主色调在设定部分深色后不够清晰
d13b1d9|SpeedPartner|Fri May 5 00:52:52 2023 +0800|update 1.7.8
da16374|SpeedPartner|Fri May 5 00:46:59 2023 +0800|改进textarea以及logs的显示字体为等宽字体,使文字排版更清晰,更整齐 -修复luci-app-ddns的日志页面未正常应用暗色模式的背景和字体颜色
4da7130|老竭力|Thu Apr 27 11:05:24 2023 +0800|Merge pull request #406 from SpeedPartner/18.06
44c5fd9|SpeedPartner|Mon Apr 24 05:38:11 2023 +0800|改进workflows,可在复刻仓库通用,打开复刻仓库的Actions读写权限即可使用Github Actions云编译最新主题 (注释已添加开启权限的引导说明) -更新OpenWrt SDK版本,修复18.06的SDK在ubuntu-latest中出现的gcc,g++,Python的版本依赖问题.
af096d5|老竭力|Fri Apr 21 13:58:42 2023 +0800|Merge pull request #402 from SpeedPartner/18.06
fe49772|SpeedPartner|Thu Apr 20 18:49:37 2023 +0800|18.06 支持 手动触发自动编译,并创建和上传到发行版
9cb71a6|SpeedPartner|Thu Apr 20 13:42:41 2023 +0800|重新优化 [添加]按钮的位置
4c87de8|SpeedPartner|Thu Apr 20 02:40:44 2023 +0800|回退 稍稍增大的单选框
0ddb09f|SpeedPartner|Thu Apr 20 02:26:05 2023 +0800|优化 概况[overview] 中的 占用指示条,避免内部颜色溢出边框四角
4494a23|SpeedPartner|Thu Apr 20 02:07:40 2023 +0800|优化 [子选项卡]的位置
d20c82a|SpeedPartner|Thu Apr 20 01:43:54 2023 +0800|优化 [添加]按钮的位置
57eec64|SpeedPartner|Thu Apr 20 01:25:00 2023 +0800|优化 在浏览器窗口较小时/缩小浏览器窗口时/在移动端页面时 列表内标题换行显示的最小宽度
e4a83fe|SpeedPartner|Wed Apr 19 20:44:55 2023 +0800|重新对齐复选框;稍稍增大复选框和单选框
112fa12|SpeedPartner|Wed Apr 19 05:37:53 2023 +0800|Merge branch 'jerrykuku:18.06' into 18.06
2934fb9|SpeedPartner|Wed Apr 19 05:24:20 2023 +0800|使列表中的标题与选框/输入框对齐
169b2b2|SpeedPartner|Wed Apr 19 05:15:45 2023 +0800|优化列表布局
86b27d1|SpeedPartner|Tue Apr 18 19:09:30 2023 +0800|为 软件包[Software] 中 空闲空间[Free space] 的占用指示条 增加气泡动画,并支持跟随自定义主题颜色
4d56662|SpeedPartner|Tue Apr 18 17:55:03 2023 +0800|减少按钮按下的阴影扩散效果,这将改进在移动端上的显示效果
08faddb|jjm2473|Tue Apr 18 11:23:33 2023 +0800|fix dropdown on uci dialog [22.03]
befec95|jjm2473|Thu Apr 13 23:12:11 2023 +0800|fix dynlist item style [22.03]
4a9d1c6|老竭力|Tue Apr 18 11:13:52 2023 +0800|Merge pull request #399 from SpeedPartner/18.06
a8107d9|SpeedPartner|Mon Apr 17 23:04:16 2023 +0800|修复自v1.7.6开始,在[luci-app-alist]中点击[查看密码(View Password)]后,用户名和密码的布局异常 - 并修复在[luci-app-filebrowser]的移动端页面,运行状态位置不正确
3293146|SpeedPartner|Mon Apr 17 04:40:18 2023 +0800|回退 合并来自master的 header_login.htm , out_header_login.htm - No zuo no die, why would I try...
2089cfe|SpeedPartner|Mon Apr 17 04:01:13 2023 +0800|新增 在检测到移动端横屏时,自动隐藏footer 避免在移动端 横屏刷新时 或 从竖屏切换至横屏时,footer显示位置不会自动隐藏(主要在登录页面) - 清理不需要的代码
1c7bba5|SpeedPartner|Mon Apr 17 03:01:34 2023 +0800|Update luasrc/view/themes/argon/footer.htm
18ac0d8|SpeedPartner|Mon Apr 17 03:01:09 2023 +0800|Update luasrc/view/themes/argon/header.htm
b41635b|SpeedPartner|Mon Apr 17 02:59:18 2023 +0800|Update htdocs/luci-static/argon/js/styles-argon.js
e05e52a|SpeedPartner|Sun Apr 16 23:03:53 2023 +0800|回退footer.htm 修复在登录界面<缩小浏览器窗口>或者<移动端竖横屏切换>时,页脚[footer]显示位置不正确
05be190|SpeedPartner|Sun Apr 16 19:06:49 2023 +0800|修复侧边导航菜单自动收缩(隐藏)时,且在防火墙[iptables]列表加载时,扩展按钮无响应的问题 - 从menu-argon.js分离侧边导航菜单的脚本至sidebar-argon.js - 导航菜单自动收缩(隐藏):移动端竖屏时/缩小浏览器窗口时
187a7f6|SpeedPartner|Sun Apr 16 03:05:31 2023 +0800|优化对齐[luci-app-filebrowser]的运行状态文本 - 添加备注
a7e51bd|SpeedPartner|Sat Apr 15 05:54:16 2023 +0800|重做<修复防火墙[iptables]列表加载时,导航菜单无响应的问题> 分离script.js为menu-argon.js和styles-argon.js,这也将改进一些基于script处理主题风格的效率, 如 软件包[Software] 中 空闲空间[Free space] 的占用指示条; 合并master的footer.htm,header_login.htm,out_header_login.htm; 修复资源版本号
5bd4a5e|SpeedPartner|Fri Apr 14 21:53:02 2023 +0800|修复首次获取在线壁纸时需要再刷新一次才能显示的问题
e825831|SpeedPartner|Fri Apr 14 21:49:28 2023 +0800|增加获取在线壁纸的最长响应等待时间至3s, 以避免网络环境不佳时无法获取壁纸url
03c3972|SpeedPartner|Fri Apr 14 05:06:31 2023 +0800|Sync from master: Support wallpaper from Unsplash https://github.com/jerrykuku/luci-theme-argon/pull/395 - thanks to @MkQtS @jjm2473
49e3b77|SpeedPartner|Wed Apr 12 16:50:08 2023 +0800|为警告背景色呼吸动画添加缺失的字体颜色
3c74234|SpeedPartner|Tue Apr 11 20:35:21 2023 +0800|修复防火墙[iptables]列表加载时,导航菜单无响应的问题
20fad04|SpeedPartner|Tue Apr 11 20:10:55 2023 +0800|补充适配 PassWall 在暗色模式下[使用(节点)]弹出小窗的背景颜色
c6ed8da|老竭力|Wed Apr 5 16:02:56 2023 +0800|Merge pull request #391 from gngpp/patch-1
eb150d9|gngpp|Tue Apr 4 19:48:25 2023 +0800|fix: 修复URL结尾子路径匹配bug
b590a0f|老竭力|Tue Apr 4 18:49:54 2023 +0800|Update README_ZH.md
1219943|老竭力|Tue Apr 4 18:49:17 2023 +0800|Update README.md
16b37cc|老竭力|Tue Apr 4 18:04:23 2023 +0800|Update Makefile
aa87a90|老竭力|Tue Apr 4 18:00:59 2023 +0800|Merge pull request #390 from SpeedPartner/18.06
8b51554|SpeedPartner|Tue Apr 4 05:01:14 2023 +0800|Merge branch 'jerrykuku:18.06' into 18.06
7c8e54b|老竭力|Mon Apr 3 22:15:20 2023 +0800|Fixed text-transform uppercase in th tag
b7c683e|jjm2473|Thu Mar 30 23:35:45 2023 +0800|fix menu search on some old browsers
272d1f3|jjm2473|Thu Mar 30 13:57:49 2023 +0800|fix menu search link click
1019e49|jjm2473|Wed Mar 29 17:40:38 2023 +0800|fix cache menu-argon.js
7c8ab57|jjm2473|Wed Mar 29 17:17:11 2023 +0800|udpate menu search
56b29d4|jjm2473|Wed Mar 29 15:54:23 2023 +0800|add menu search
abb77b5|jjm2473|Wed Mar 29 10:07:41 2023 +0800|rename variables
9ae3b85|SpeedPartner|Tue Mar 28 04:58:44 2023 +0800|update 1.7.6
cdd3257|SpeedPartner|Tue Mar 28 04:44:55 2023 +0800|更正说明: “正在使用中” 的节点背景颜色为PassWall专用,属于强迫症更改
9ad8a3e|SpeedPartner|Tue Mar 28 03:44:25 2023 +0800|强迫症:暗色模式下,适配PassWall中通过链接添加节点弹出小窗的背景颜色
1759fc6|SpeedPartner|Tue Mar 28 03:21:42 2023 +0800|优化暗色模式下,在 未保存的配置 中各条目的背景颜色
9b70d09|SpeedPartner|Tue Mar 28 02:54:39 2023 +0800|优化暗色模式下,防火墙 > 通信规则 > 添加/修改 规则时,任意区域和设备选项的背景颜色
796019b|SpeedPartner|Mon Mar 27 04:53:05 2023 +0800|为警告提示(譬如更改未保存时的设备重启页面)增加一个背景颜色呼吸显示的动画效果,并同步变换字体颜色,以提升醒目程度
b4e8e9b|SpeedPartner|Mon Mar 27 03:18:45 2023 +0800|替换LuCI默认的文件和文件夹类型图标,这将在暗色模式下更美观
002f480|SpeedPartner|Sun Mar 26 21:12:58 2023 +0800|改进暗色模式下载入过程gif的颜色
0fda77b|SpeedPartner|Sun Mar 26 20:52:00 2023 +0800|优化在设备重启时提示信息的背景颜色
15970f1|SpeedPartner|Sun Mar 26 20:04:18 2023 +0800|优化暗色模式下,各接口的创建/分配防火墙区域中的不指定和新建的背景颜色
3b07975|SpeedPartner|Sun Mar 26 04:46:45 2023 +0800|居中显示错误提示文本,并追加边框和呼吸显示动画,以提升醒目程度
fbf65da|SpeedPartner|Sat Mar 25 05:59:44 2023 +0800|为选择文件按钮添加与主题统一的悬停,移除和按下的动画效果
3c15d2b|SpeedPartner|Fri Mar 24 05:33:04 2023 +0800|修复暗色模式主题下,在 网络(network) > 无线(wireless) 中的信号强度标志的背景颜色未适配
f683f02|SpeedPartner|Fri Mar 24 04:59:30 2023 +0800|为“正在使用中”的项目添加(替换)背景颜色,深色模式主题下也不会亮瞎眼睛了
f2dc786|SpeedPartner|Fri Mar 24 04:25:31 2023 +0800|优化表格样式,为表格标题和描述补上背景颜色 / 优化H标签在表格内的背景颜色 / 优化(变更)表格内的H标签颜色使之更清晰易见 (以上均已适配暗色模式主题) PS:相关改进可在如PassWall的LuCI App > 规则管理 > V2ray/Xray 分流规则 进行查看
0195be8|SpeedPartner|Fri Mar 24 00:25:29 2023 +0800|优化暗色模式主题下的列表颜色,添加/修复遗漏的列表排序按钮背景颜色
105a4f9|SpeedPartner|Thu Mar 23 23:32:53 2023 +0800|优化对齐管控[Control]菜单下的各类LuCi Apps的运行状态文本
fdca670|SpeedPartner|Thu Mar 23 23:10:39 2023 +0800|修复暗色模式主题下 接口 > 接口总览 中网络类型的ifacebox边框底部两角存在留白
4eea922|SpeedPartner|Thu Mar 23 05:33:44 2023 +0800|修正/统一格式
de3ab8c|SpeedPartner|Thu Mar 23 05:30:14 2023 +0800|使用伪元素替换用于上传文件的选择文件按钮
1c1b742|SpeedPartner|Thu Mar 23 05:03:24 2023 +0800|修正/统一格式
fc231ee|SpeedPartner|Thu Mar 23 04:48:15 2023 +0800|添加/修复 文本框内容输入(提交)错误时,无法定位错误点位
dd07324|老竭力|Wed Mar 22 21:23:16 2023 +0800|Merge pull request #385 from SpeedPartner/18.06
03d117e|SpeedPartner|Wed Mar 22 05:50:37 2023 +0800|Merge branch 'jerrykuku:18.06' into 18.06
6354e6f|SpeedPartner|Wed Mar 22 04:00:28 2023 +0800|update 1.7.5
2d1db2c|SpeedPartner|Wed Mar 22 03:40:59 2023 +0800|重做:修复首页DHCPv6分配中的某些主机名无法居中显示
684b832|SpeedPartner|Tue Mar 21 23:43:53 2023 +0800|修复首页DHCPv6分配中的某些主机名无法居中显示
176c6ca|SpeedPartner|Tue Mar 21 19:54:47 2023 +0800|修复某些输入框过小(移动端比较常见)
a17b2cb|SpeedPartner|Tue Mar 21 17:42:15 2023 +0800|Update sysauth.htm
5d8cb5b|老竭力|Tue Mar 21 08:58:08 2023 +0800|Merge pull request #384 from SpeedPartner/18.06
d5928cf|SpeedPartner|Tue Mar 21 02:40:35 2023 +0800|update 1.7.4
a155a83|SpeedPartner|Tue Mar 21 02:34:54 2023 +0800|修改必应壁纸更新逻辑，防止wget卡死导致登录界面加载失败，新的逻辑使用curl，并且加锁，就算卡死以后再次刷新界面会跳过必应壁纸的流程 from:https://github.com/jerrykuku/luci-theme-argon/pull/310
b935771|SpeedPartner|Tue Mar 21 02:14:29 2023 +0800|Fix typo / Fix menu fold (revert) / Fix <legend> display issue: Interface - LAN - Common Configuration & DHCP Server
77d9a57|SpeedPartner|Tue Mar 21 01:27:35 2023 +0800|fix typo
6e291ea|jjm2473|Sun Feb 19 11:33:46 2023 +0800|add LUCI_MINIFY_CSS:=0 to bypass csstidy bug
b189bb5|老竭力|Fri Nov 25 17:24:49 2022 +0800|Fixed can't show sysauth page.
edd39f2|jjm2473|Tue Jan 31 22:16:02 2023 +0800|fix potential number overflow
08bc268|jjm2473|Mon Dec 12 21:14:25 2022 +0800|align DynamicList to other inputs
ae3035b|jjm2473|Wed Sep 28 21:57:53 2022 +0800|fix password input in table
cc44ce4|jjm2473|Mon Sep 19 19:22:55 2022 +0800|fix dropdown text input issue in safari
bd0aa97|老竭力|Mon Sep 19 10:57:22 2022 +0800|Merge pull request #346 from jjm2473/disable-auto-https
07b09bc|老竭力|Mon Sep 19 10:56:48 2022 +0800|Merge pull request #347 from jjm2473/button-style
6da7f73|jjm2473|Thu Aug 11 15:03:06 2022 +0800|remove invalid button style
2c643cb|jjm2473|Wed May 4 16:53:21 2022 +0800|disable auto redirect to https
c61f539|jjm2473|Mon Apr 25 22:39:51 2022 +0800|remove invalid code from login page
3255cb8|老竭力|Wed Aug 10 14:52:22 2022 +0800|Merge pull request #345 from NemoAlex/master
095b087|Nemo|Mon Aug 8 20:08:46 2022 +0800|Adjust clickable area of slide-menu
b5cc4b6|老竭力|Fri Jun 3 08:46:53 2022 +0800|Merge pull request #337 from McGiverGim/adjust_ifacebadge_height
38182be|Miguel Angel Mulero Martinez|Tue May 24 12:46:43 2022 +0200|Adjust ifacebadge height
515eb2a|老竭力|Fri May 20 10:40:34 2022 +0800|Merge pull request #332 from McGiverGim/apply_changes_scroll
7ed2bb5|老竭力|Fri May 20 10:40:06 2022 +0800|Merge pull request #329 from xiaozhuai/master
c243201|Miguel Angel Mulero Martinez|Wed May 18 16:39:23 2022 +0200|Adds a scroll in the changes window if needed
